TL-DOS Lehrstuhlversuch
detector=R1408305
job_number=2015-10-14-001
irradiation_dose [mSv]=5.0

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	87.2862226344	0.0
0.0102	89.6690488973	0.0
0.0205	92.0624936018	0.0
0.0307	94.4201488121	0.0
0.041	96.7883102958	1.0
0.0512	99.1210603485	0.0
0.0614	101.441516757	0.0
0.0717	103.772313673	2.0
0.0819	106.068257875	5.0
0.0922	108.374433352	0.0
0.1024	110.646124282	1.0
0.1126	112.905843352	2.0
0.1229	115.175632268	1.0
0.1331	117.411480731	5.0
0.1434	119.657292668	1.0
0.1536	121.869522683	2.0
0.1638	124.070094197	1.0
0.1741	126.280471982	1.0
0.1843	128.457797697	3.0
0.1946	130.644826094	1.0
0.2048	132.799151567	0.0
0.215	134.942123697	0.0
0.2253	137.094645422	2.0
0.2355	139.214980206	1.0
0.2458	141.344763707	0.0
0.256	143.442700274	1.0
0.2662	145.52958067	0.0
0.2765	147.625760702	0.0
0.2867	149.690596278	0.0
0.297	151.764633253	0.0
0.3072	153.80765688	0.0
0.3174	155.839913727	0.0
0.3277	157.881226795	0.0
0.3379	159.89201584	0.0
0.3482	161.91176544	0.0
0.3584	163.901313458	0.0
0.3686	165.880376514	0.0
0.3789	167.868258747	0.0
0.3891	169.826415914	0.0
0.3994	171.793299097	0.0
0.4096	173.730771216	1.0
0.4198	175.658032814	0.0
0.4301	177.59388275	0.0
0.4403	179.500785666	0.0
0.4506	181.416186196	0.0
0.4608	183.302945489	0.0
0.471	185.17976152	1.0
0.4813	187.064941089	0.0
0.4915	188.921931321	0.0
0.5018	190.787196743	0.0
0.512	192.624570605	0.0
0.5222	194.452261467	0.0
0.5325	196.288096955	0.0
0.5427	198.096480953	0.0
0.553	199.912923541	1.0
0.5632	201.702204623	0.0
0.5734	203.482056155	0.0
0.5837	205.269839129	0.0
0.5939	207.030889149	0.0
0.6042	208.799786827	0.0
0.6144	210.542233945	0.0
0.6246	212.275498329	0.0
0.6349	214.016486552	0.0
0.6451	215.731441548	1.0
0.6554	217.454038793	0.0
0.6656	219.150877813	0.0
0.6758	220.838774455	0.0
0.6861	222.534192767	0.0
0.6963	224.204259265	0.0
0.7066	225.881767977	0.0
0.7168	227.534192681	0.0
0.727	229.17790907	1.0
0.7373	230.82895025	1.0
0.7475	232.455303195	0.0
0.7578	234.088903556	0.0
0.768	235.698076475	0.0
0.7782	237.298769017	1.0
0.7885	238.906594627	0.0
0.7987	240.490378209	0.0
0.809	242.081219507	0.0
0.8192	243.648272746	0.0
0.8294	245.207067581	0.0
0.8397	246.772808776	2.0
0.8499	248.315137237	0.0
0.8602	249.864338681	0.0
0.8704	251.390374711	0.0
0.8806	252.908368498	0.0
0.8909	254.433126827	0.0
0.9011	255.935085244	0.0
0.9114	257.443736746	0.0
0.9216	258.929829182	0.0
0.9318	260.408089879	0.0
0.9421	261.892938058	0.0
0.9523	263.355583106	2.0
0.9626	264.82474605	2.0
0.9728	266.271940406	0.0
0.983	267.711508016	0.0
0.9933	269.157490682	0.0
1.0035	270.581851379	0.0
1.0138	272.012559366	2.0
1.024	273.421873789	0.0
1.0342	274.823761093	7.0
1.0445	276.231895541	0.0
1.0547	277.61897397	0.0
1.065	279.01223355	3.0
1.0752	280.384659536	1.0
1.0854	281.749852807	2.0
1.0957	283.121129705	1.0
1.1059	284.471901718	0.0
1.1162	285.828693094	2.0
1.1264	287.165196189	1.0
1.1366	288.494655883	1.0
1.1469	289.830039967	3.0
1.1571	291.145455876	2.0
1.1674	292.466733592	2.0
1.1776	293.768254068	4.0
1.1878	295.062915503	2.0
1.1981	296.363346258	3.0
1.2083	297.6443315	4.0
1.2186	298.931025117	2.0
1.2288	300.198478636	3.0
1.239	301.459252646	4.0
1.2493	302.725644966	1.0
1.2595	303.973100754	4.0
1.2698	305.226115503	6.0
1.28	306.460393757	1.0
1.2902	307.688167338	3.0
1.3005	308.92141217	10.0
1.3107	310.13621613	8.0
1.321	311.356433545	6.0
1.3312	312.558404889	6.0
1.3414	313.754041818	4.0
1.3517	314.955006789	7.0
1.3619	316.138013573	11.0
1.3722	317.326292117	8.0
1.3824	318.496802175	16.0
1.3926	319.66114362	11.0
1.4029	320.830673647	16.0
1.4131	321.982715538	17.0
1.4234	323.139891202	15.0
1.4336	324.279763466	16.0
1.4438	325.413628578	20.0
1.4541	326.552546463	16.0
1.4643	327.674433959	21.0
1.4746	328.801320853	26.0
1.4848	329.911357258	21.0
1.495	331.015543748	26.0
1.5053	332.124650755	29.0
1.5155	333.217173139	20.0
1.5258	334.314564063	19.0
1.536	335.395545556	36.0
1.5462	336.470830253	39.0
1.5565	337.550906675	35.0
1.5667	338.614832572	42.0
1.577	339.683499576	34.0
1.5872	340.736186661	46.0
1.5974	341.783326062	38.0
1.6077	342.835131766	42.0
1.6179	343.871209681	44.0
1.6282	344.911904605	41.0
1.6384	345.937037882	50.0
1.6486	346.956768683	52.0
1.6589	347.981043648	64.0
1.6691	348.990002494	57.0
1.6794	350.003457502	86.0
1.6896	351.001758183	66.0
1.6998	351.994797797	83.0
1.7101	352.992262633	88.0
1.7203	353.974812245	81.0
1.7306	354.961740333	84.0
1.7408	355.933910755	109.0
1.751	356.900957817	96.0
1.7613	357.872314272	113.0
1.7715	358.829145906	112.0
1.7818	359.790241409	144.0
1.792	360.736965524	149.0
1.8022	361.678700383	136.0
1.8125	362.624631836	153.0
1.8227	363.556418652	177.0
1.833	364.492357732	198.0
1.8432	365.414301592	206.0
1.8534	366.331386787	190.0
1.8637	367.252558732	240.0
1.8739	368.159956272	216.0
1.8842	369.071397391	267.0
1.8944	369.969209611	261.0
1.9046	370.862290341	281.0
1.9149	371.759350852	299.0
1.9251	372.642997498	291.0
1.9354	373.530581885	340.0
1.9456	374.404894105	332.0
1.9558	375.274598681	337.0
1.9661	376.148178867	381.0
1.9763	377.008696294	389.0
1.9866	377.873048392	434.0
1.9968	378.724475718	458.0
2.007	379.571416004	414.0
2.0173	380.422130458	489.0
2.0275	381.260124066	513.0
2.0378	382.101851973	565.0
2.048	382.930993413	508.0
2.0582	383.755765258	552.0
2.0685	384.584212484	624.0
2.0787	385.400271828	620.0
2.089	386.219967728	655.0
2.0992	387.027406607	649.0
2.1094	387.830590265	717.0
2.1197	388.637353101	736.0
2.1299	389.432052306	736.0
2.1402	390.23029288	745.0
2.1504	391.016597258	740.0
2.1606	391.798757794	850.0
2.1709	392.584403824	840.0
2.1811	393.358301985	897.0
2.1914	394.135648821	913.0
2.2016	394.901371887	935.0
2.2118	395.663059576	911.0
2.2221	396.428141527	987.0
2.2323	397.181783106	990.0
2.2426	397.938783092	963.0
2.2528	398.684463557	1019.0
2.263	399.42621427	1071.0
2.2733	400.171270401	1025.0
2.2835	400.905185609	1112.0
2.2938	401.642371318	1031.0
2.304	402.368533792	1065.0
2.3142	403.090869374	1016.0
2.3245	403.816423856	1112.0
2.3347	404.531129026	1007.0
2.345	405.249019092	1035.0
2.3552	405.956174453	1060.0
2.3654	406.65960309	1021.0
2.3757	407.366166373	1052.0
2.3859	408.062164322	975.0
2.3962	408.761263804	961.0
2.4064	409.449909558	955.0
2.4166	410.134926135	940.0
2.4269	410.822995309	957.0
2.4371	411.500775693	939.0
2.4474	412.181576429	909.0
2.4576	412.852197061	864.0
2.4678	413.519283508	856.0
2.4781	414.189342652	814.0
2.4883	414.849382312	794.0
2.4986	415.512363266	738.0
2.5088	416.165430579	724.0
2.519	416.815056213	676.0
2.5293	417.467576733	676.0
2.5395	418.110340028	651.0
2.5498	418.75596763	612.0
2.56	419.391941077	604.0
2.5702	420.024562929	590.0
2.5805	420.660003896	611.0
2.5907	421.28594303	545.0
2.601	421.914671498	578.0
2.6112	422.533998506	571.0
2.6214	423.150061647	570.0
2.6317	423.768870113	548.0
2.6419	424.378425454	527.0
2.6522	424.990697118	552.0
2.6624	425.593813404	521.0
2.6726	426.193751254	525.0
2.6829	426.79636257	482.0
2.6931	427.389962959	520.0
2.7034	427.986208573	577.0
2.7136	428.573538448	602.0
2.7238	429.157773082	609.0
2.7341	429.744611204	601.0
2.7443	430.322674258	603.0
2.7546	430.9033133	641.0
2.7648	431.475269969	604.0
2.775	432.044212413	650.0
2.7853	432.615690201	669.0
2.7955	433.178622607	737.0
2.8058	433.744063573	686.0
2.816	434.301049426	672.0
2.8262	434.855099951	735.0
2.8365	435.411619457	784.0
2.8467	435.959817254	745.0
2.857	436.510457951	806.0
2.8672	437.052864845	800.0
2.8774	437.592413243	839.0
2.8877	438.134365997	839.0
2.8979	438.66821486	911.0
2.9082	439.20444268	868.0
2.9184	439.732652216	874.0
2.9286	440.258078075	932.0
2.9389	440.785845358	926.0
2.9491	441.305720866	954.0
2.9594	441.827913064	956.0
2.9696	442.342296853	957.0
2.9798	442.853969828	943.0
2.9901	443.36792294	919.0
3.0003	443.874190843	927.0
3.0106	444.382714797	978.0
3.0208	444.883634725	960.0
3.031	445.381914794	989.0
3.0413	445.882415317	967.0
3.0515	446.375431791	1045.0
3.0618	446.870645263	988.0
3.072	447.358453743	954.0
3.0822	447.843691461	969.0
3.0925	448.331091515	980.0
3.1027	448.811203411	1017.0
3.113	449.2934548	1005.0
3.1232	449.768495021	1012.0
3.1334	450.241031769	1009.0
3.1437	450.715674253	897.0
3.1539	451.183219346	999.0
3.1642	451.652847931	973.0
3.1744	452.115454098	953.0
3.1846	452.575622321	1003.0
3.1949	453.037841163	918.0
3.2051	453.493148385	971.0
3.2154	453.950484565	951.0
3.2256	454.400982137	926.0
3.2358	454.849105576	941.0
3.2461	455.299225961	930.0
3.2563	455.742615636	983.0
3.2666	456.187981161	938.0
3.2768	456.626687076	907.0
3.287	457.063081002	919.0
3.2973	457.501419603	832.0
3.3075	457.93320367	842.0
3.3178	458.366911868	882.0
3.328	458.794134772	848.0
3.3382	459.219106201	838.0
3.3485	459.645971403	853.0
3.3587	460.066453635	850.0
3.369	460.488809635	864.0
3.3792	460.90485009	863.0
3.3894	461.318698004	824.0
3.3997	461.734390121	845.0
3.4099	462.14386634	793.0
3.4202	462.555167283	782.0
3.4304	462.960317988	824.0
3.4406	463.36333354	882.0
3.4509	463.768145026	840.0
3.4611	464.166903312	832.0
3.4714	464.56743856	814.0
3.4816	464.961984552	821.0
3.4918	465.354451277	845.0
3.5021	465.748666928	856.0
3.5123	466.13698782	810.0
3.5226	466.527039163	760.0
3.5328	466.911258016	789.0
3.543	467.293452028	906.0
3.5533	467.677349187	778.0
3.5635	468.055505882	837.0
3.5738	468.435347733	842.0
3.584	468.809509758	815.0
3.5942	469.181699942	752.0
3.6045	469.555548693	863.0
3.6147	469.923807235	816.0
3.625	470.293706825	817.0
3.6352	470.658075257	863.0
3.6454	471.02052346	814.0
3.6557	471.384586819	811.0
3.6659	471.743206289	808.0
3.6762	472.103423854	820.0
3.6864	472.458255038	754.0
3.6966	472.811216254	793.0
3.7069	473.165750349	804.0
3.7171	473.51498305	757.0
3.7274	473.865772014	769.0
3.7376	474.211315584	789.0
3.7478	474.555038133	800.0
3.7581	474.900292391	827.0
3.7683	475.240384017	834.0
3.7786	475.581991171	757.0
3.7888	475.91849023	778.0
3.799	476.25321593	777.0
3.8093	476.589433248	726.0
3.8195	476.920623065	807.0
3.8298	477.253288742	790.0
3.84	477.580980025	840.0
3.8502	477.906944368	790.0
3.8605	478.234361286	770.0
3.8707	478.556882295	755.0
3.881	478.880840535	742.0
3.8912	479.199954585	743.0
3.9014	479.517386897	806.0
3.9117	479.836233762	791.0
3.9219	480.150312869	776.0
3.9322	480.465791587	765.0
3.9424	480.776552909	773.0
3.9526	481.085676513	781.0
3.9629	481.396177646	747.0
3.9731	481.702035814	764.0
3.9834	482.009256959	721.0
3.9936	482.311884185	688.0
4.0038	482.61291656	709.0
4.0141	482.915290406	728.0
4.0243	483.213142817	690.0
4.0346	483.512322529	712.0
4.0448	483.807028567	700.0
4.055	484.100181498	649.0
4.0653	484.394640788	714.0
4.0755	484.684696989	715.0
4.0858	484.976045751	708.0
4.096	485.263037935	637.0
4.1062	485.548517665	730.0
4.1165	485.83526956	741.0
4.1267	486.117733617	756.0
4.137	486.4014564	652.0
4.1472	486.68093664	669.0
4.1574	486.958944012	671.0
4.1677	487.238190251	657.0
4.1779	487.513260885	676.0
4.1882	487.789557299	637.0
4.1984	488.061722216	685.0
4.2086	488.332452818	647.0
4.2189	488.604389861	664.0
4.2291	488.872260592	645.0
4.2394	489.14132502	629.0
4.2496	489.406366092	662.0
4.2598	489.670010391	641.0
4.2701	489.934829552	660.0
4.2803	490.195688838	673.0
4.2906	490.457710574	668.0
4.3008	490.715814265	631.0
4.311	490.972557744	656.0
4.3213	491.230445333	628.0
4.3315	491.484476695	704.0
4.3418	491.739640081	648.0
4.352	491.990987976	648.0
4.3622	492.241011261	639.0
4.3725	492.49214871	684.0
4.3827	492.739530868	664.0
