TL-DOS Lehrstuhlversuch
detector=R1408306
job_number=2015-10-22-005
irradiation_dose [mSv]=unknown

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	149.054889511	0.0
0.0102	150.466176197	0.0
0.0205	151.886347285	1.0
0.0307	153.287843649	0.0
0.041	154.698162783	1.0
0.0512	156.089936743	0.0
0.0614	157.47689837	1.0
0.0717	158.872591267	1.0
0.0819	160.249931319	3.0
0.0922	161.635942071	0.0
0.1024	163.003727294	2.0
0.1126	164.366783131	1.0
0.1229	165.738419745	0.0
0.1331	167.092019845	0.0
0.1434	168.454141196	1.0
0.1536	169.798351156	1.0
0.1638	171.137913245	1.0
0.1741	172.485908212	0.0
0.1843	173.816177545	1.0
0.1946	175.154821255	1.0
0.2048	176.475862296	2.0
0.215	177.792335577	2.0
0.2253	179.117096387	2.0
0.2355	180.424437083	1.0
0.2458	181.740007815	0.0
0.256	183.038279278	0.0
0.2662	184.332061713	0.0
0.2765	185.633988832	0.0
0.2867	186.91879609	0.0
0.297	188.211691532	0.0
0.3072	189.487585877	1.0
0.3174	190.759068566	0.0
0.3277	192.038555557	1.0
0.3379	193.301217767	0.0
0.3482	194.571828751	1.0
0.3584	195.825731671	0.0
0.3686	197.075298975	1.0
0.3789	198.332732618	0.0
0.3891	199.573631473	0.0
0.3994	200.822342097	0.0
0.4096	202.054632639	0.0
0.4198	203.282662293	0.0
0.4301	204.518422701	0.0
0.4403	205.737933317	0.0
0.4506	206.965121057	1.0
0.4608	208.176171733	0.0
0.471	209.383034962	0.0
0.4813	210.597495698	0.0
0.4915	211.795986724	1.0
0.5018	213.00202255	1.0
0.512	214.192199452	0.0
0.5222	215.378261083	0.0
0.5325	216.571789268	0.0
0.5427	217.749622999	0.0
0.553	218.934871489	1.0
0.5632	220.104534399	0.0
0.5734	221.270152969	0.0
0.5837	222.4431094	0.0
0.5939	223.600641888	0.0
0.6042	224.765461332	0.0
0.6144	225.914963831	0.0
0.6246	227.0604917	0.0
0.6349	228.213230953	0.0
0.6451	229.350812111	0.0
0.6554	230.495554627	0.0
0.6656	231.625244202	0.0
0.6758	232.751027653	0.0
0.6861	233.883898193	0.0
0.6963	235.001871904	1.0
0.7066	236.12688354	0.0
0.7168	237.237101688	0.0
0.727	238.343481039	2.0
0.7373	239.456825324	1.0
0.7475	240.555529545	0.0
0.7578	241.661150382	0.0
0.768	242.752232715	0.0
0.7782	243.839542416	0.0
0.7885	244.933697004	0.0
0.7987	246.013463863	0.0
0.809	247.100028125	0.0
0.8192	248.172304469	0.0
0.8294	249.240873207	0.0
0.8397	250.316168851	0.0
0.8499	251.377324756	0.0
0.8602	252.445160903	0.0
0.8704	253.498955399	0.0
0.8806	254.549106194	1.0
0.8909	255.60586795	0.0
0.9011	256.648733681	0.0
0.9114	257.698164512	1.0
0.9216	258.733795715	0.0
0.9318	259.76584602	0.0
0.9421	260.80439334	0.0
0.9523	261.829284147	0.0
0.9626	262.860626898	0.0
0.9728	263.878407873	1.0
0.983	264.89266967	0.0
0.9933	265.913316499	0.0
1.0035	266.920542199	0.0
1.0138	267.934108638	2.0
1.024	268.934347052	0.0
1.0342	269.931126945	2.0
1.0445	270.934181818	2.0
1.0547	271.924046889	0.0
1.065	272.920143409	0.0
1.0752	273.903141628	0.0
1.0854	274.882740937	0.0
1.0957	275.868507069	0.0
1.1059	276.841310741	0.0
1.1162	277.820238456	0.0
1.1264	278.786293633	1.0
1.1366	279.749008484	1.0
1.1469	280.717783866	0.0
1.1571	281.67382021	1.0
1.1674	282.635875042	0.0
1.1776	283.585279209	0.0
1.1878	284.531400624	0.0
1.1981	285.48347811	2.0
1.2083	286.42303613	0.0
1.2186	287.368508902	0.0
1.2288	288.301549057	1.0
1.239	289.231363042	0.0
1.2493	290.167030438	1.0
1.2595	291.090394155	1.0
1.2698	292.019570676	1.0
1.28	292.936528871	0.0
1.2902	293.850316502	1.0
1.3005	294.769856655	1.0
1.3107	295.677305195	2.0
1.321	296.59046635	0.0
1.3312	297.491619774	2.0
1.3414	298.389657283	0.0
1.3517	299.293348162	0.0
1.3619	300.185155841	0.0
1.3722	301.082577672	0.0
1.3824	301.968198738	1.0
1.3926	302.850757595	1.0
1.4029	303.73887238	0.0
1.4131	304.615308785	0.0
1.4234	305.497262576	1.0
1.4336	306.367619001	0.0
1.4438	307.234965997	2.0
1.4541	308.10777316	0.0
1.4643	308.969103231	5.0
1.4746	309.835855591	0.0
1.4848	310.691210477	1.0
1.495	311.543607806	1.0
1.5053	312.40137119	2.0
1.5155	313.247855302	2.0
1.5258	314.099668243	0.0
1.536	314.940280159	1.0
1.5462	315.777985494	0.0
1.5565	316.620964394	1.0
1.5667	317.452858433	4.0
1.577	318.289989453	1.0
1.5872	319.11611251	0.0
1.5974	319.939379083	4.0
1.6077	320.767828326	0.0
1.6179	321.585383768	1.0
1.6282	322.408085926	0.0
1.6384	323.219969854	2.0
1.6486	324.029046534	3.0
1.6589	324.843216555	5.0
1.6691	325.64668054	2.0
1.6794	326.455202533	4.0
1.6896	327.25309276	1.0
1.6998	328.048224125	2.0
1.7101	328.848361041	5.0
1.7203	329.637976452	4.0
1.7306	330.432562689	2.0
1.7408	331.216700412	4.0
1.751	331.998126824	5.0
1.7613	332.784472511	4.0
1.7715	333.560478043	5.0
1.7818	334.341368724	4.0
1.792	335.111990981	5.0
1.8022	335.879948661	6.0
1.8125	336.652740825	7.0
1.8227	337.415371059	2.0
1.833	338.182802241	7.0
1.8432	338.940141987	8.0
1.8534	339.694863081	11.0
1.8637	340.454335334	9.0
1.8739	341.203820807	13.0
1.8842	341.958024479	6.0
1.8944	342.702310652	4.0
1.9046	343.444023309	3.0
1.9149	344.190405232	8.0
1.9251	344.926972509	7.0
1.9354	345.668176662	11.0
