TL-DOS Lehrstuhlversuch
detector=R1408305
job_number=2015-10-15-009
irradiation_dose [mSv]=1.0

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	125.376202526	0.0
0.0102	127.278374906	0.0
0.0205	129.190446565	0.0
0.0307	131.075329301	2.0
0.041	132.970021336	0.0
0.0512	134.83777158	0.0
0.0614	136.69705547	0.0
0.0717	138.566015439	0.0
0.0819	140.408399516	1.0
0.0922	142.260371722	1.0
0.1024	144.086009595	4.0
0.1126	145.903372007	1.0
0.1229	147.730192329	0.0
0.1331	149.53103597	2.0
0.1434	151.341251554	2.0
0.1536	153.125726569	4.0
0.1638	154.902112711	0.0
0.1741	156.687743514	0.0
0.1843	158.447983335	1.0
0.1946	160.217383789	0.0
0.2048	161.96162405	1.0
0.215	163.697957818	0.0
0.2253	165.443327807	4.0
0.2355	167.163879307	1.0
0.2458	168.893384894	0.0
0.256	170.598297578	1.0
0.2662	172.295482037	0.0
0.2765	174.001498977	0.0
0.2867	175.683257012	0.0
0.297	177.373767247	0.0
0.3072	179.040239077	0.0
0.3174	180.699156931	0.0
0.3277	182.366708119	0.0
0.3379	184.010547371	0.0
0.3482	185.662941485	0.0
0.3584	187.291839191	0.0
0.3686	188.913353242	0.0
0.3789	190.54330597	0.0
0.3891	192.150081397	0.0
0.3994	193.7652188	0.0
0.4096	195.35738957	1.0
0.4198	196.942343165	1.0
0.4301	198.535545169	0.0
0.4403	200.106092454	0.0
0.4506	201.684813175	0.0
0.4608	203.241085096	0.0
0.471	204.790302568	0.0
0.4813	206.347582471	0.0
0.4915	207.882718454	0.0
0.5018	209.425843585	0.0
0.512	210.947026071	0.0
0.5222	212.461313166	0.0
0.5325	213.983480908	0.0
0.5427	215.484004011	0.0
0.553	216.99233613	0.0
0.5632	218.479220347	0.0
0.5734	219.959364644	0.0
0.5837	221.447211903	0.0
0.5939	222.913902546	0.0
0.6042	224.388226135	1.0
0.6144	225.84158541	1.0
0.6246	227.28835673	0.0
0.6349	228.742657333	0.0
0.6451	230.17627834	0.0
0.6554	231.617360193	0.0
0.6656	233.037950416	0.0
0.6758	234.452101225	0.0
0.6861	235.873611552	0.0
0.6963	237.274908549	0.0
0.7066	238.68349817	0.0
0.7168	240.072058189	1.0
0.727	241.454323984	0.0
0.7373	242.843783361	0.0
0.7475	244.21348516	0.0
0.7578	245.590315156	0.0
0.768	246.94756716	0.0
0.7782	248.298666855	1.0
0.7885	249.656797939	0.0
0.7987	250.995616921	0.0
0.809	252.34140338	0.0
0.8192	253.668053273	0.0
0.8294	254.988689575	0.0
0.8397	256.316198727	0.0
0.8499	257.62483121	0.0
0.8602	258.940274074	0.0
0.8704	260.237011846	0.0
0.8806	261.527871616	0.0
0.8909	262.825449273	0.0
0.9011	264.104575876	0.0
0.9114	265.390359304	0.0
0.9216	266.657859387	0.0
0.9318	267.919613999	0.0
0.9421	269.18793503	0.0
0.9523	270.438221024	0.0
0.9626	271.695013752	0.0
0.9728	272.933935371	0.0
0.983	274.167241064	0.0
0.9933	275.406965121	1.0
1.0035	276.629060779	0.0
1.0138	277.857516463	2.0
1.024	279.06850398	1.0
1.0342	280.274002193	1.0
1.0445	281.485774055	0.0
1.0547	282.680314988	0.0
1.065	283.881072546	0.0
1.0752	285.064755794	0.0
1.0854	286.243073506	0.0
1.0957	287.427523415	0.0
1.1059	288.595130902	0.0
1.1162	289.768814848	0.0
1.1264	290.925809459	0.0
1.1366	292.077559512	0.0
1.1469	293.235303499	0.0
1.1571	294.376584811	1.0
1.1674	295.523805575	1.0
1.1776	296.654713302	0.0
1.1878	297.78049472	0.0
1.1981	298.912134925	0.0
1.2083	300.027683642	1.0
1.2186	301.149037894	1.0
1.2288	302.254446919	1.0
1.239	303.35484522	2.0
1.2493	304.460970208	0.0
1.2595	305.551366526	0.0
1.2698	306.64743748	0.0
1.28	307.727922726	0.0
1.2902	308.803510225	2.0
1.3005	309.884695292	0.0
1.3107	310.950506323	0.0
1.321	312.021864045	2.0
1.3312	313.077987472	2.0
1.3414	314.12932358	0.0
1.3517	315.186131049	0.0
1.3619	316.227911122	1.0
1.3722	317.275112823	0.0
1.3824	318.307423718	2.0
1.3926	319.335055236	2.0
1.4029	320.36803475	3.0
1.4131	321.386325693	2.0
1.4234	322.409916022	3.0
1.4336	323.41895129	4.0
1.4438	324.423412687	0.0
1.4541	325.433101498	1.0
1.4643	326.428432923	1.0
1.4746	327.428944248	1.0
1.4848	328.415228687	1.0
1.495	329.397042383	4.0
1.5053	330.383965629	1.0
1.5155	331.356855207	4.0
1.5258	332.334807893	3.0
1.536	333.298854468	5.0
1.5462	334.258531102	3.0
1.5565	335.223202081	5.0
1.5667	336.17415581	4.0
1.577	337.130058489	4.0
1.5872	338.0723686	7.0
1.5974	339.0104073	6.0
1.6077	339.953327736	5.0
1.6179	340.882840207	8.0
1.6282	341.817190043	10.0
1.6384	342.738253784	9.0
1.6486	343.655142422	10.0
1.6589	344.576802727	9.0
1.6691	345.485357378	9.0
1.6794	346.398640326	11.0
1.6896	347.298936741	9.0
1.6998	348.19515219	8.0
1.7101	349.096031719	16.0
1.7203	349.984101088	5.0
1.7306	350.876792145	11.0
1.7408	351.756789478	12.0
1.751	352.632797858	10.0
1.7613	353.513365157	8.0
1.7715	354.381411129	10.0
1.7818	355.253974581	17.0
1.792	356.114130518	16.0
1.8022	356.97038744	13.0
1.8125	357.831100492	14.0
1.8227	358.679574535	18.0
1.833	359.532464204	23.0
1.8432	360.37322611	19.0
1.8534	361.210176913	29.0
1.8637	362.051483373	26.0
1.8739	362.880826779	16.0
1.8842	363.71448625	21.0
1.8944	364.536291405	27.0
1.9046	365.354371386	31.0
1.9149	366.176708816	20.0
1.9251	366.987352925	35.0
1.9354	367.802215785	27.0
1.9456	368.605491608	40.0
1.9558	369.40512625	46.0
1.9661	370.208922348	47.0
1.9763	371.001288774	54.0
1.9866	371.797778831	33.0
1.9968	372.582943106	50.0
2.007	373.364548298	68.0
2.0173	374.150221117	67.0
2.0275	374.92472197	58.0
2.0378	375.703253478	52.0
2.048	376.470714568	68.0
2.0582	377.234696822	75.0
2.0685	378.002654989	84.0
2.0787	378.759693086	95.0
2.089	379.520670959	82.0
2.0992	380.270828019	77.0
2.1094	381.01758468	78.0
2.1197	381.76822761	101.0
2.1299	382.508196686	98.0
2.1402	383.252016707	123.0
2.1504	383.985259893	99.0
2.1606	384.71517935	94.0
2.1709	385.448897451	112.0
2.1811	386.172182363	128.0
2.1914	386.899231391	122.0
2.2016	387.615942063	132.0
2.2118	388.329403945	129.0
2.2221	389.046578823	162.0
2.2323	389.753555751	150.0
2.2426	390.464211925	145.0
2.2528	391.164762842	161.0
2.263	391.862138221	150.0
2.2733	392.563142878	155.0
2.2835	393.254179519	194.0
2.2938	393.94881245	189.0
2.304	394.633567969	173.0
2.3142	395.315219548	197.0
2.3245	396.000418576	194.0
2.3347	396.675874338	195.0
2.345	397.354845304	208.0
2.3552	398.024161564	208.0
2.3654	398.69044387	208.0
2.3757	399.360193641	224.0
2.3859	400.020419827	231.0
2.3962	400.68408196	210.0
2.4064	401.338307073	236.0
2.4166	401.989566638	223.0
2.4269	402.644215487	222.0
2.4371	403.289555481	241.0
2.4474	403.93825395	239.0
2.4576	404.577728177	215.0
2.4678	405.214303722	234.0
2.4781	405.854192131	207.0
2.4883	406.484981573	189.0
2.4986	407.119053767	223.0
2.5088	407.744109698	201.0
2.519	408.366332304	222.0
2.5293	408.991793078	247.0
2.5395	409.608360041	193.0
2.5498	410.22813574	198.0
2.56	410.839098466	202.0
2.5702	411.44729175	174.0
2.5805	412.058650192	194.0
2.5907	412.661315351	164.0
2.601	413.267116899	172.0
2.6112	413.864304182	169.0
2.6214	414.458784465	138.0
2.6317	415.05635854	148.0
2.6419	415.645435342	143.0
2.6522	416.237577816	113.0
2.6624	416.821300251	153.0
2.6726	417.402376722	136.0
2.6829	417.986477229	135.0
2.6931	418.562272051	135.0
2.7034	419.141063423	118.0
2.7136	419.711624604	125.0
2.7238	420.27959948	125.0
2.7341	420.850530208	116.0
2.7443	421.413342522	107.0
2.7546	421.979083821	102.0
2.7648	422.536780496	104.0
2.775	423.09194918	105.0
2.7853	423.65000707	89.0
2.7955	424.200129592	120.0
2.8058	424.75311506	100.0
2.816	425.298237287	95.0
2.8262	425.840888522	117.0
2.8365	426.386363819	115.0
2.8467	426.924082668	111.0
2.857	427.464599912	109.0
2.8672	427.997431208	117.0
2.8774	428.527847225	139.0
2.8877	429.061023631	106.0
2.8979	429.586618474	114.0
2.9082	430.114948616	121.0
2.9184	430.635766106	119.0
2.9286	431.154222775	116.0
2.9389	431.675377594	119.0
2.9491	432.189121793	145.0
2.9594	432.705539616	127.0
2.9696	433.214614177	148.0
2.9798	433.721381147	137.0
2.9901	434.230785431	141.0
3.0003	434.732946182	152.0
3.0106	435.237720276	155.0
3.0208	435.735316677	152.0
3.031	436.230657516	170.0
3.0413	436.728576205	158.0
3.0515	437.219414683	192.0
3.0618	437.71280758	171.0
3.072	438.19918462	159.0
3.0822	438.683356954	180.0
3.0925	439.170049016	187.0
3.1027	439.649820505	203.0
3.113	440.132088818	163.0
3.1232	440.607499461	186.0
3.1334	441.080755109	197.0
3.1437	441.556473671	202.0
3.1539	442.025427699	194.0
3.1642	442.496822255	169.0
3.1744	442.961513763	175.0
3.1846	443.424098863	177.0
3.1949	443.889091346	191.0
3.2051	444.347471816	178.0
3.2154	444.808237788	196.0
3.2256	445.262451844	216.0
3.2358	445.714606987	199.0
3.2461	446.169115234	215.0
3.2563	446.617160549	195.0
3.2666	447.06753758	188.0
3.2768	447.511510422	190.0
3.287	447.953470773	211.0
3.2973	448.397731173	210.0
3.3075	448.83567436	200.0
3.3178	449.27589669	172.0
3.328	449.709859228	199.0
3.3382	450.141854651	214.0
3.3485	450.576098262	168.0
3.3587	451.004167096	191.0
3.369	451.434463685	184.0
3.3792	451.858641622	208.0
3.3894	452.280896796	209.0
3.3997	452.705349469	192.0
3.4099	453.123766588	175.0
3.4202	453.544361232	179.0
3.4304	453.958975182	209.0
3.4406	454.371709723	179.0
3.4509	454.786592214	177.0
3.4611	455.195575237	177.0
3.4714	455.606686687	161.0
3.4816	456.011952291	180.0
3.4918	456.41538086	167.0
3.5021	456.820908951	180.0
3.5123	457.220670588	170.0
3.5226	457.622512663	171.0
3.5328	458.018640699	160.0
3.543	458.412973119	168.0
3.5533	458.809357723	133.0
3.5635	459.200105891	157.0
3.5738	459.592887589	170.0
3.584	459.980084082	170.0
3.5942	460.365525446	129.0
3.6045	460.752972723	163.0
3.6147	461.134910649	161.0
3.625	461.518836254	159.0
3.6352	461.897302585	155.0
3.6454	462.274053361	152.0
3.6557	462.652764821	161.0
3.6659	463.02609115	137.0
3.6762	463.401360343	149.0
3.6864	463.771293352	137.0
3.6966	464.139549486	153.0
3.7069	464.509722098	162.0
3.7171	464.874630997	160.0
3.7274	465.241438954	159.0
3.7376	465.603031043	173.0
3.7478	465.962984065	151.0
3.7581	466.324810354	143.0
3.7683	466.681491612	144.0
3.7786	467.04002911	166.0
3.7888	467.393468342	158.0
3.799	467.745305464	160.0
3.8093	468.098973616	152.0
3.8195	468.447612742	135.0
3.8298	468.798066255	160.0
3.84	469.143536454	166.0
3.8502	469.487440666	168.0
3.8605	469.833134623	159.0
3.8707	470.173912945	165.0
3.881	470.516464744	157.0
3.8912	470.854145588	146.0
3.9014	471.190295754	144.0
3.9117	471.528195311	140.0
3.9219	471.861290067	161.0
3.9322	472.196118313	144.0
3.9424	472.52618543	141.0
3.9526	472.854756381	157.0
3.9629	473.18503728	155.0
3.9731	473.510621711	157.0
3.9834	473.837900548	158.0
3.9936	474.160525605	144.0
4.0038	474.481688231	193.0
4.0141	474.80452225	164.0
4.0243	475.122765693	132.0
4.0346	475.442665338	178.0
4.0448	475.758016133	169.0
4.055	476.071937469	133.0
4.0653	476.387492514	138.0
4.0755	476.698560487	154.0
4.0858	477.011247319	152.0
4.096	477.319487865	138.0
4.1062	477.626331183	132.0
4.1165	477.934771373	135.0
4.1267	478.238825663	150.0
4.137	478.54446231	153.0
4.1472	478.845752923	134.0
4.1574	479.14567781	149.0
4.1677	479.447163566	146.0
4.1779	479.74436231	149.0
