TL-DOS Lehrstuhlversuch
detector=R1407502
job_number=2015-10-26-006
irradiation_dose [mSv]=0.5

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	135.876129106	0.0
0.0102	137.502364281	1.0
0.0205	139.138054645	0.0
0.0307	140.751464565	3.0
0.041	142.374255105	1.0
0.0512	143.974940916	1.0
0.0614	145.569333142	1.0
0.0717	147.172995416	1.0
0.0819	148.754813516	1.0
0.0922	150.345828556	0.0
0.1024	151.915171694	2.0
0.1126	153.47834448	2.0
0.1229	155.050605801	0.0
0.1331	156.601450672	0.0
0.1434	158.1613124	0.0
0.1536	159.69992658	5.0
0.1638	161.232491228	3.0
0.1741	162.773966449	2.0
0.1843	164.294444572	1.0
0.1946	165.823762995	0.0
0.2048	167.332249913	1.0
0.215	168.834805753	0.0
0.2253	170.346097692	1.0
0.2355	171.836803671	0.0
0.2458	173.33617685	0.0
0.256	174.815126421	0.0
0.2662	176.28826105	0.0
0.2765	177.769960718	0.0
0.2867	179.231477515	1.0
0.297	180.701491802	0.0
0.3072	182.15148239	0.0
0.3174	183.595771898	0.0
0.3277	185.048458734	0.0
0.3379	186.481357896	0.0
0.3482	187.92258816	0.0
0.3584	189.344186805	0.0
0.3686	190.760196002	0.0
0.3789	192.1844381	0.0
0.3891	193.589279982	0.0
0.3994	195.002289838	0.0
0.4096	196.396052476	0.0
0.4198	197.784335112	0.0
0.4301	199.180689442	0.0
0.4403	200.558023428	0.0
0.4506	201.943365452	0.0
0.4608	203.309837135	0.0
0.471	204.670936117	0.0
0.4813	206.039948744	1.0
0.4915	207.39031346	0.0
0.5018	208.74852941	0.0
0.512	210.088244515	1.0
0.5222	211.422692121	0.0
0.5325	212.764898416	0.0
0.5427	214.088821941	0.0
0.553	215.420442967	0.0
0.5632	216.733925408	0.0
0.5734	218.042243493	0.0
0.5837	219.358168345	0.0
0.5939	220.656168418	1.0
0.6042	221.961715269	0.0
0.6144	223.249478703	0.0
0.6246	224.532178902	0.0
0.6349	225.822336923	0.0
0.6451	227.094921146	0.0
0.6554	228.374904374	0.0
0.6656	229.637452399	0.0
0.6758	230.895036331	0.0
0.6861	232.159932055	0.0
0.6963	233.407598089	0.0
0.7066	234.66251825	0.0
0.7168	235.900344603	0.0
0.727	237.133304064	0.0
0.7373	238.373432147	0.0
0.7475	239.59666791	0.0
0.7578	240.827015759	0.0
0.768	242.040604509	0.0
0.7782	243.249421666	0.0
0.7885	244.465267076	0.0
0.7987	245.664550932	0.0
0.809	246.870807613	0.0
0.8192	248.060633353	0.0
0.8294	249.245780929	0.0
0.8397	250.437819141	0.0
0.8499	251.613620087	0.0
0.8602	252.796257325	1.0
0.8704	253.962785351	0.0
0.8806	255.124726817	0.0
0.8909	256.293423994	1.0
0.9011	257.446201842	0.0
0.9114	258.605682124	1.0
0.9216	259.749368625	1.0
0.9318	260.888558373	0.0
0.9421	262.034371551	1.0
0.9523	263.164577113	0.0
0.9626	264.301353869	0.0
0.9728	265.422646099	0.0
0.983	266.539529626	0.0
0.9933	267.662906891	1.0
1.0035	268.77098215	0.0
1.0138	269.885499934	1.0
1.024	270.98483639	0.0
1.0342	272.079850469	0.0
1.0445	273.181231134	0.0
1.0547	274.267609418	0.0
1.065	275.360304076	0.0
1.0752	276.43811467	2.0
1.0854	277.511687523	0.0
1.0957	278.591502298	0.0
1.1059	279.65660845	0.0
1.1162	280.727907298	0.0
1.1264	281.784613522	0.0
1.1366	282.837164984	2.0
1.1469	283.895836146	1.0
1.1571	284.940086692	2.0
1.1674	285.990408675	0.0
1.1776	287.02642377	0.0
1.1878	288.058365456	0.0
1.1981	289.096307013	3.0
1.2083	290.120110322	0.0
1.2186	291.149866184	0.0
1.2288	292.165595298	1.0
1.239	293.177330763	0.0
1.2493	294.194948618	0.0
1.2595	295.198705062	0.0
1.2698	296.208297504	1.0
1.28	297.204137852	0.0
1.2902	298.19606275	0.0
1.3005	299.193754857	1.0
1.3107	300.177856968	0.0
1.321	301.167680806	0.0
1.3312	302.144021826	0.0
1.3414	303.116524063	0.0
1.3517	304.094680582	0.0
1.3619	305.05951321	0.0
1.3722	306.029955527	0.0
1.3824	306.987179031	0.0
1.3926	307.940638918	2.0
1.4029	308.899642372	2.0
1.4131	309.845582827	1.0
1.4234	310.797023129	1.0
1.4336	311.735503452	1.0
1.4438	312.670293854	4.0
1.4541	313.610519275	3.0
1.4643	314.53793748	4.0
1.4746	315.470747841	4.0
1.4848	316.39085199	1.0
1.495	317.307338469	1.0
1.5053	318.229153545	3.0
1.5155	319.13841218	2.0
1.5258	320.052957389	1.0
1.536	320.955045184	0.0
1.5462	321.853586145	3.0
1.5565	322.757351365	3.0
1.5667	323.64880601	1.0
1.577	324.545443713	2.0
1.5872	325.429867927	0.0
1.5974	326.310814757	1.0
1.6077	327.196883552	1.0
1.6179	328.070882821	3.0
1.6282	328.949963661	1.0
1.6384	329.817070161	0.0
1.6486	330.680767368	0.0
1.6589	331.549486247	2.0
1.6691	332.406371931	3.0
1.6794	333.268239684	2.0
1.6896	334.118367565	1.0
1.6998	334.965152909	1.0
1.7101	335.816861597	3.0
1.7203	336.656968793	5.0
1.7306	337.501960506	4.0
1.7408	338.335442222	2.0
1.751	339.165646851	0.0
1.7613	340.00067842	2.0
1.7715	340.824335665	0.0
1.7818	341.652781782	4.0
1.792	342.469943279	5.0
1.8022	343.283891855	1.0
1.8125	344.102572857	1.0
1.8227	344.910102252	2.0
1.833	345.722326751	3.0
1.8432	346.52348759	2.0
1.8534	347.32149842	4.0
1.8637	348.124149012	4.0
1.8739	348.915866354	9.0
1.8842	349.712186866	5.0
1.8944	350.497660352	6.0
1.9046	351.28004551	7.0
1.9149	352.066979579	5.0
1.9251	352.84319448	8.0
1.9354	353.623922417	4.0
1.9456	354.394015722	7.0
1.9558	355.161081171	6.0
1.9661	355.932606459	4.0
1.9763	356.693622468	8.0
1.9866	357.459063145	11.0
1.9968	358.214077425	9.0
2.007	358.966123135	5.0
2.0173	359.722541359	6.0
2.0275	360.468656083	10.0
2.0378	361.219108837	12.0
2.048	361.959339349	11.0
2.0582	362.69665942	5.0
2.0685	363.438266387	12.0
2.0787	364.169771605	11.0
2.089	364.90552991	9.0
2.0992	365.631266134	10.0
2.1094	366.354148904	17.0
2.1197	367.08123463	14.0
2.1299	367.798416407	10.0
2.1402	368.519767992	18.0
2.1504	369.231293737	19.0
2.1606	369.940021901	9.0
2.1709	370.652870722	16.0
2.1811	371.356009523	24.0
2.1914	372.063236483	16.0
2.2016	372.760830001	18.0
2.2118	373.455680716	16.0
2.2221	374.154571404	27.0
2.2323	374.8439422	20.0
2.2426	375.537321106	25.0
2.2528	376.2212552	31.0
2.263	376.902500199	26.0
2.2733	377.587706063	31.0
2.2835	378.263578443	34.0
2.2938	378.943380452	35.0
2.304	379.613922584	23.0
2.3142	380.281828276	30.0
2.3245	380.953617277	38.0
2.3347	381.61625555	34.0
2.345	382.282746507	35.0
2.3552	382.940158903	52.0
2.3654	383.594986482	29.0
2.3757	384.253621332	31.0
2.3859	384.903284633	50.0
2.3962	385.556725179	40.0
2.4064	386.201264929	51.0
2.4166	386.843270475	39.0
2.4269	387.489008742	56.0
2.4371	388.125951131	59.0
2.4474	388.766596803	42.0
2.4576	389.398515964	48.0
2.4678	390.027950542	38.0
2.4781	390.661044752	53.0
2.4883	391.285515313	48.0
2.4986	391.913616645	50.0
2.5088	392.533162337	48.0
2.519	393.150272097	67.0
2.5293	393.77096983	70.0
2.5395	394.383212772	66.0
2.5498	394.999015392	65.0
2.56	395.606429898	64.0
2.5702	396.211456169	69.0
2.5805	396.820000158	64.0
2.5907	397.420254907	71.0
2.601	398.023999632	82.0
2.6112	398.61952049	65.0
2.6214	399.212699876	67.0
2.6317	399.809328101	64.0
2.6419	400.397829396	86.0
2.6522	400.98975233	84.0
2.6624	401.573612426	82.0
2.6726	402.155176899	69.0
2.6829	402.740122679	75.0
2.6931	403.317100661	86.0
2.7034	403.897433284	78.0
2.7136	404.469860945	65.0
2.7238	405.040037933	78.0
2.7341	405.613530021	90.0
2.7443	406.179210325	71.0
2.7546	406.748179584	81.0
2.7648	407.309398667	64.0
2.775	407.868411146	69.0
2.7853	408.430673813	52.0
