TL-DOS Lehrstuhlversuch
detector=R1408305
job_number=2016-01-04-001
irradiation_dose [mSv]=unknown

[BEGIN DATA]            
time [sec]       temperature [K]         photoncount 
0       291.15  0.0
0.0102  292.012644253   0.0
0.0205  292.881068048   2.0
0.0307  293.7384169254  0.0
0.041   294.601509867   0.0
0.0512  295.4535958747  3.0
0.0614  296.3030753325  1.0
0.0717  297.1582461309  2.0
0.0819  298.0025110257  1.0
0.0922  298.8524323246  0.0
0.1024  299.6915146663  0.0
0.1126  300.5280302365  0.0
0.1229  301.3701502919  1.0
0.1331  302.2015308785  0.0
0.1434  303.038481547   0.0
0.1536  303.8647586713  1.0
0.1638  304.6885081955  1.0
0.1741  305.517776675   0.0
0.1843  306.3364695806  3.0
0.1946  307.160647563   0.0
0.2048  307.9743148901  0.0
0.215   308.7854931908  1.0
0.2253  309.602106222   0.0
0.2355  310.4083050729  1.0
0.2458  311.2199052931  0.0
0.256   312.0211552607  0.0
0.2662  312.819954187   0.0
0.2765  313.6241049045  0.0
0.2867  314.4180003722  0.0
0.297   315.2172147791  0.0
0.3072  316.0062368884  0.0
0.3174  316.7928453616  0.0
0.3277  317.5847239525  0.0
0.3379  318.3665037987  0.0
0.3482  319.1535214118  1.0
0.3584  319.9305022719  0.0
0.3686  320.7051063302  1.0
0.3789  321.4849000791  1.0
0.3891  322.2547492001  0.0
0.3994  323.0297561546  1.0
0.4096  323.7948795266  0.0
0.4198  324.5576623692  0.0
0.4301  325.3255557027  0.0
0.4403  326.083656173   0.0
0.4506  326.8468357631  0.0
0.4608  327.6002826039  1.0
0.471   328.3514246342  0.0
0.4813  329.1075991642  0.0
0.4915  329.8541302796  0.0
0.5018  330.6056630026  1.0
0.512   331.3476115076  0.0
0.5222  332.0872903756  0.0
0.5325  332.8319249425  0.0
0.5427  333.5670632629  0.0
0.553   334.3071268613  0.0
0.5632  335.0377525062  0.0
0.5734  335.7661431511  1.0
0.5837  336.4994138661  0.0
0.5939  337.2233332565  0.0
0.6042  337.9521027604  1.0
0.6144  338.6715783433  0.0
0.6246  339.3888530343  0.0
0.6349  340.1109333208  0.0
0.6451  340.8238049931  0.0
0.6554  341.5414527615  0.0
0.6656  342.2499484431  0.0
0.6758  342.9562768207  0.0
0.6861  343.6673374556  0.0
0.6963  344.3693300088  0.0
0.7066  345.0760257702  0.0
0.7168  345.7737091146  0.0
0.727   346.4692582302  0.0
0.7373  347.1694673842  0.0
0.7475  347.8607468443  0.0
0.7578  348.556657737   0.0
0.768   349.243693751   0.0
0.7782  349.9286281066  0.0
0.7885  350.618151384   0.0
0.7987  351.2988812432  0.0
0.809   351.9841718549  0.0
0.8192  352.6607230273  1.0
0.8294  353.3352046146  0.0
0.8397  354.0142050921  0.0
